t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1773207903,143,1808,78.34265734265735,1,213.83563204885633,4.0,7.0,532.9999999999998,683.72,1315.6400000000026,1808.0
1773207933,143,1808,78.34265734265735,1,213.83563204885633,4.0,7.0,532.9999999999998,683.72,1315.6400000000026,1808.0
1773207963,147,1808,76.3265306122449,1,211.2334345702561,4.0,7.0,529.9999999999999,683.24,1270.8800000000115,1808.0
1773207993,151,1808,74.51655629139073,1,208.69335892019933,4.0,7.0,527.0000000000001,682.84,1226.1199999999885,1808.0
1773208023,151,1808,74.51655629139073,1,208.69335892019933,4.0,7.0,527.0000000000001,682.84,1226.1199999999885,1808.0
1773208053,164,1808,69.34146341463415,1,201.08144548438742,4.0,7.0,505.0,681.8,1080.6499999999937,1808.0
1773208083,182,1808,64.04395604395604,1,191.90216269271616,3.0,7.0,455.04999999999995,680.36,879.229999999986,1808.0
1773208113,187,1808,62.401069518716575,1,189.56609934362038,3.0,7.0,451.79999999999995,679.96,823.2800000000051,1808.0
1773208143,191,1808,61.1413612565445,1,187.75876436542706,3.0,6.0,449.1999999999997,679.64,778.5199999999822,1808.0
1773208173,191,1808,61.1413612565445,1,187.75876436542706,3.0,6.0,449.1999999999997,679.64,778.5199999999822,1808.0
1773208203,196,1808,59.66326530612245,1,185.5623162383587,3.0,6.0,445.9499999999997,679.24,722.5700000000013,1808.0
1773211140,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773211173,23,3169,691.9565217391304,5,837.5099173502838,171.0,1134.0,2950.999999999997,3169.0,3169.0,3169.0
1773211203,24,3169,664.0416666666666,5,830.4384111480784,169.5,1131.75,2896.5,3169.0,3169.0,3169.0
1773211233,25,3169,637.6,3,823.6337171340183,168.0,1129.5,2841.999999999999,3169.0,3169.0,3169.0
1773211263,26,3169,613.2307692307693,3,816.5034872034439,151.0,1127.25,2787.499999999998,3169.0,3169.0,3169.0
1773211293,29,3169,550.4827586206897,3,794.0971342478763,54.0,1015.0,2624.0,3169.0,3169.0,3169.0
1773211323,30,3169,532.3666666666667,3,786.5694823565891,51.5,960.0,2569.499999999999,3169.0,3169.0,3169.0
1773211353,31,3169,515.3225806451613,3,779.1495529142345,49.0,905.0,2514.9999999999986,3169.0,3169.0,3169.0
1773211383,32,3169,499.46875,3,771.708493533624,46.5,903.5,2460.4999999999977,3169.0,3169.0,3169.0
1773211413,33,3169,485.93939393939394,3,763.520789639759,49.0,902.0,2405.999999999997,3169.0,3169.0,3169.0
1773211443,34,3169,471.7647058823529,3,756.3925972276697,46.5,900.5,2351.5,3169.0,3169.0,3169.0
1773211473,35,3169,458.42857142857144,3,749.3512207909188,44.0,899.0,2296.9999999999955,3169.0,3169.0,3169.0
1773211503,36,3169,445.77777777777777,3,742.4588535443222,40.5,890.5,2242.4999999999986,3169.0,3169.0,3169.0
1773211533,37,3169,435.4594594594595,3,734.759884988687,44.0,882.0,2188.0000000000014,3169.0,3169.0,3169.0
1773211563,37,3169,435.4594594594595,3,734.759884988687,44.0,882.0,2188.0000000000014,3169.0,3169.0,3169.0
1773211593,37,3169,435.4594594594595,3,734.759884988687,44.0,882.0,2188.0000000000014,3169.0,3169.0,3169.0
1773211623,37,3169,435.4594594594595,3,734.759884988687,44.0,882.0,2188.0000000000014,3169.0,3169.0,3169.0
1773211653,37,3169,435.4594594594595,3,734.759884988687,44.0,882.0,2188.0000000000014,3169.0,3169.0,3169.0
1773211683,38,3169,424.1842105263158,3,728.0878642872252,40.5,873.5,2133.499999999997,3169.0,3169.0,3169.0
1773211713,39,3169,413.56410256410254,3,721.498652107717,37.0,865.0,2079.0,3169.0,3169.0,3169.0
1773211743,40,3169,403.35,3,715.1123831348613,29.5,827.75,2069.6999999999994,3169.0,3169.0,3169.0
1773211773,41,3169,393.6341463414634,3,708.8521621642119,22.0,790.5,2060.3999999999996,3169.0,3169.0,3169.0
1773211803,44,3169,370.0681818181818,3,689.5300859492467,17.5,579.75,2032.5,3169.0,3169.0,3169.0
1773211833,45,3169,362.0,3,683.7947924500583,13.0,443.5,2023.1999999999991,3169.0,3169.0,3169.0
1773211863,46,3169,354.2391304347826,3,678.2001076307332,11.5,307.25,2013.8999999999996,3169.0,3169.0,3169.0
1773211893,46,3169,354.2391304347826,3,678.2001076307332,11.5,307.25,2013.8999999999996,3169.0,3169.0,3169.0
1773211923,48,3169,339.625,3,667.3825858961611,9.5,170.25,1995.2999999999995,3169.0,3169.0,3169.0
1773211953,48,3169,339.625,3,667.3825858961611,9.5,170.25,1995.2999999999995,3169.0,3169.0,3169.0
1773211983,49,3169,332.7551020408163,3,662.1426876251901,9.0,169.5,1986.0,3169.0,3169.0,3169.0
